LOG_NO,COMPLAINT_DATE,ASSIGNMENT,CASE_TYPE,CURRENT_STATUS,CURRENT_CATEGORY,FINDING_CODE,POLICE_SHOOTING,BEAT,RACE_OF_COMPLAINANT,SEX_OF_COMPLAINANT,AGE_OF_COMPLAINANT,COMPLAINT_HOUR,COMPLAINT_DAY,COMPLAINT_MONTH
1009133,09/08/2007 05:27:10 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,812,White,Female,50-59,17,7,9
1009137,09/08/2007 08:34:43 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,512,African American / Black,Male,0-19,20,7,9
1009140,09/09/2007 08:26:40 AM,IPRA,Complaint,Closed,Miscellaneous,UNFOUNDED,No,1633,Hispanic,Female,60-69,8,1,9
1009141,09/09/2007 08:51:45 AM,IPRA,Complaint,Closed,Miscellaneous,No Finding,No,1124,African American / Black,Female,0-19,8,1,9
1009141,09/09/2007 08:51:45 AM,IPRA,Complaint,Closed,Miscellaneous,No Finding,No,1124,African American / Black,Female,0-19,8,1,9
1009143,09/09/2007 10:09:56 AM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,421,African American / Black,Female,20-29,10,1,9
1009146,09/09/2007 10:22:24 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1823,African American / Black,Male,50-59,10,1,9
1009150,09/09/2007 01:32:30 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1023,African American / Black,Male,30-39,13,1,9
1009152,09/09/2007 02:04:48 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1133,African American / Black,Male,20-29,14,1,9
1009153,09/09/2007 02:43:19 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,424,African American / Black,Male,0-19,14,1,9
1009154,09/09/2007 03:04:33 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,732,African American / Black,Female,0-19,15,1,9
1009157,09/09/2007 08:51:07 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,2433,White,Male,40-49,20,1,9
1009158,09/09/2007 10:08:33 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1522,African American / Black,Male,30-39,22,1,9
1009160,09/10/2007 12:58:59 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,313,African American / Black,Female,30-39,0,2,9
1009161,09/10/2007 01:09:49 AM,IPRA,Complaint,Closed,Domestic Violence,No Finding,No,813,White,Female,30-39,1,2,9
1009165,09/10/2007 09:01:55 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1651,African American / Black,Male,40-49,9,2,9
1009166,09/10/2007 09:13:47 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,531,African American / Black,Male,0-19,9,2,9
1009166,09/10/2007 09:13:47 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,531,African American / Black,Female,30-39,9,2,9
1009181,09/10/2007 03:20:32 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,1823,African American / Black,Female,50-59,15,2,9
1009182,09/10/2007 03:31:54 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1811,Hispanic,Male,30-39,15,2,9
1009185,09/10/2007 07:48:14 PM,IPRA,Complaint,Closed,Firearm Discharge - No Hits,No Finding,No,411,African American / Black,Male,40-49,19,2,9
1009192,09/11/2007 07:51:19 AM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1812,African American / Black,Male,0-19,7,3,9
1009197,09/11/2007 10:37:29 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,734,Hispanic,Female,20-29,10,3,9
1009210,09/11/2007 06:23:22 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,825,African American / Black,Male,0-19,18,3,9
1009215,09/11/2007 09:22:38 PM,IPRA,Complaint,Closed,Excessive Force,SUSTAINED,No,1431,Hispanic,Male,30-39,21,3,9
1009218,09/12/2007 03:01:45 AM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,2123,African American / Black,Male,20-29,3,4,9
1009225,09/12/2007 11:42:33 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,2532,African American / Black,Male,0-19,11,4,9
1009226,09/12/2007 01:39:58 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1932,White,Male,20-29,13,4,9
1009226,09/12/2007 01:39:58 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1932,African American / Black,Male,20-29,13,4,9
1009228,09/12/2007 02:12:36 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,832,African American / Black,Male,0-19,14,4,9
1009236,09/12/2007 05:57:22 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,634,African American / Black,Male,0-19,17,4,9
1009237,09/12/2007 06:06:27 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,624,African American / Black,Female,30-39,18,4,9
1009237,09/12/2007 06:06:27 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,624,African American / Black,Male,0-19,18,4,9
1009237,09/12/2007 06:06:27 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,624,African American / Black,Female,20-29,18,4,9
1009242,09/12/2007 10:19:01 PM,IPRA,Complaint,Closed,Miscellaneous,No Finding,No,621,African American / Black,Male,0-19,22,4,9
1009243,09/13/2007 08:49:03 AM,IPRA,Complaint,Closed,Verbal Abuse,UNFOUNDED,No,2312,African American / Black,Male,20-29,8,5,9
1009249,09/13/2007 11:28:37 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1033,Hispanic,Male,40-49,11,5,9
1009250,09/13/2007 11:46:44 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,632,African American / Black,Male,20-29,11,5,9
1009252,09/13/2007 12:29:13 PM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,232,African American / Black,Male,40-49,12,5,9
1009259,09/13/2007 04:48:31 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,612,African American / Black,Male,40-49,16,5,9
1009262,09/13/2007 06:13:25 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,No Finding,No,1423,Hispanic,Male,20-29,18,5,9
1009264,09/13/2007 06:24:30 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1633,Hispanic,Female,0-19,18,5,9
1009266,09/13/2007 06:44:33 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,424,African American / Black,Male,30-39,18,5,9
1009268,09/13/2007 09:55:32 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,313,African American / Black,Male,20-29,21,5,9
1009279,09/14/2007 11:50:40 AM,IPRA,Complaint,Closed,Firearm Discharge - Hits,NOT SUSTAINED,Yes,212,African American / Black,Male,20-29,11,6,9
1009288,09/14/2007 01:56:21 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,212,African American / Black,Female,20-29,13,6,9
1009293,09/14/2007 04:23:01 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,2324,African American / Black,Male,50-59,16,6,9
1009297,09/14/2007 07:00:02 PM,IPRA,Complaint,Closed,Miscellaneous,UNFOUNDED,No,1111,African American / Black,Male,20-29,19,6,9
1009298,09/14/2007 07:09:34 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,823,African American / Black,Female,40-49,19,6,9
1009298,09/14/2007 07:09:34 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,823,African American / Black,Female,20-29,19,6,9
1009298,09/14/2007 07:09:34 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,823,African American / Black,Female,20-29,19,6,9
1009300,09/14/2007 07:37:09 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,313,African American / Black,Female,40-49,19,6,9
1009307,09/15/2007 01:45:14 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,735,African American / Black,Male,50-59,1,7,9
1009310,09/15/2007 10:09:58 AM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1913,White,Male,30-39,10,7,9
1009311,09/15/2007 10:38:49 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,234,African American / Black,Male,0-19,10,7,9
1009316,09/15/2007 02:58:18 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1414,African American / Black,Male,30-39,14,7,9
1009323,09/15/2007 09:56:13 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,823,Hispanic,Male,20-29,21,7,9
1009325,09/15/2007 11:59:38 PM,IPRA,Complaint,Closed,Verbal Abuse,No Finding,No,823,Hispanic,Male,20-29,23,7,9
1009327,09/16/2007 04:15:44 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1722,Hispanic,Female,30-39,4,1,9
1009329,09/16/2007 09:59:41 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,0,African American / Black,Male,20-29,9,1,9
1009331,09/16/2007 12:38:44 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,513,African American / Black,Male,20-29,12,1,9
1009331,09/16/2007 12:38:44 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,513,African American / Black,Female,50-59,12,1,9
1009335,09/16/2007 07:42:18 PM,IPRA,Complaint,Closed,Domestic Violence,SUSTAINED,No,1614,White,Female,40-49,19,1,9
1009336,09/16/2007 07:48:16 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1034,Hispanic,Male,0-19,19,1,9
1009336,09/16/2007 07:48:16 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1034,Hispanic,Male,0-19,19,1,9
1009337,09/16/2007 07:48:19 PM,IPRA,Complaint,Closed,Verbal Abuse,UNFOUNDED,No,624,African American / Black,Female,20-29,19,1,9
1009339,09/16/2007 08:06:53 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,2122,African American / Black,Male,30-39,20,1,9
1009343,09/17/2007 04:46:22 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1624,African American / Black,Male,20-29,4,2,9
1009343,09/17/2007 04:46:22 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1624,Hispanic,Male,20-29,4,2,9
1009343,09/17/2007 04:46:22 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1624,African American / Black,Male,20-29,4,2,9
1009346,09/17/2007 10:06:04 AM,IPRA,Complaint,Closed,Firearm Discharge - Hits,No Finding,Yes,812,Hispanic,Male,20-29,10,2,9
1009348,09/17/2007 11:41:04 AM,IPRA,Complaint,Closed,Verbal Abuse,UNFOUNDED,No,1211,African American / Black,Male,40-49,11,2,9
1009351,09/17/2007 01:29:44 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,232 | 0,African American / Black,Male,0-19,13,2,9
1009355,09/17/2007 02:34:51 PM,IPRA,Complaint,Closed,Taser Notification,NOT SUSTAINED,No,1831,White,Female,50-59,14,2,9
1009356,09/17/2007 02:44:05 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,621,African American / Black,Male,0-19,14,2,9
1009357,09/17/2007 02:59:03 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,223 | 2124,African American / Black,Male,20-29,14,2,9
1009361,09/17/2007 03:45:16 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1135,African American / Black,Male,0-19,15,2,9
1009364,09/17/2007 03:57:02 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,631,African American / Black,Female,0-19,15,2,9
1009368,09/17/2007 09:04:41 PM,IPRA,Complaint,Closed,Verbal Abuse,SUSTAINED,No,1722,White,Female,40-49,21,2,9
1009378,09/18/2007 10:27:34 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1531,African American / Black,Male,0-19,10,3,9
1009381,09/18/2007 11:50:25 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1011,African American / Black,Female,0-19,11,3,9
1009383,09/18/2007 12:06:03 PM,IPRA,Complaint,Closed,Operational Violation,NOT SUSTAINED,No,1733,Hispanic,Male,40-49,12,3,9
1009390,09/18/2007 03:43:38 PM,IPRA,Complaint,Closed,Verbal Abuse,UNFOUNDED,No,324,African American / Black,Female,20-29,15,3,9
1009393,09/18/2007 06:18:31 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1533,African American / Black,Female,0-19,18,3,9
1009393,09/18/2007 06:18:31 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1533,African American / Black,Female,40-49,18,3,9
1009398,09/18/2007 08:49:57 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1414,Hispanic,Male,20-29,20,3,9
1009399,09/18/2007 09:42:01 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1211,African American / Black,Female,0-19,21,3,9
1009399,09/18/2007 09:42:01 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1211,African American / Black,Female,0-19,21,3,9
1009401,09/19/2007 12:32:33 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,512,African American / Black,Male,50-59,0,4,9
1009404,09/19/2007 08:15:05 AM,IPRA,Complaint,Closed,Domestic Violence,UNFOUNDED,No,811,White,Male,30-39,8,4,9
1009411,09/19/2007 08:27:40 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,712,African American / Black,Male,0-19,8,4,9
1009416,09/19/2007 11:40:43 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,2535,African American / Black,Male,0-19,11,4,9
1009421,09/19/2007 01:20:10 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1913,African American / Black,Male,20-29,13,4,9
1009425,09/19/2007 02:17:17 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,2413,African American / Black,Male,20-29,14,4,9
1009428,09/19/2007 03:51:48 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,2522,Hispanic,Male,20-29,15,4,9
1009429,09/19/2007 04:29:17 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,323,African American / Black,Female,40-49,16,4,9
1009429,09/19/2007 04:29:17 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,323,African American / Black,Male,20-29,16,4,9
1009436,09/19/2007 11:25:55 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,634,African American / Black,Male,0-19,23,4,9
1009438,09/20/2007 10:28:08 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,614,African American / Black,Female,30-39,10,5,9
1009441,09/20/2007 11:22:17 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,324,African American / Black,Female,60-69,11,5,9
1009441,09/20/2007 11:22:17 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,324,African American / Black,Male,0-19,11,5,9
1009443,09/20/2007 12:43:05 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,1612,White,Female,30-39,12,5,9
1009446,09/20/2007 01:01:31 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,511,African American / Black,Male,40-49,13,5,9
1009450,09/20/2007 01:48:00 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1531,African American / Black,Male,0-19,13,5,9
1009451,09/20/2007 01:57:06 PM,IPRA,Complaint,Closed,Excessive Force,SUSTAINED,No,3100,White,Female,60-69,13,5,9
1009454,09/20/2007 02:45:42 PM,IPRA,Complaint,Closed,Verbal Abuse,UNFOUNDED,No,314,African American / Black,Male,20-29,14,5,9
1009457,09/20/2007 05:36:14 PM,IPRA,Complaint,Closed,Firearm Discharge - Hits,No Finding,Yes,3100,African American / Black,Male,30-39,17,5,9
1009461,09/20/2007 08:08:02 PM,IPRA,Complaint,Closed,Miscellaneous,UNFOUNDED,No,1421,African American / Black,Male,20-29,20,5,9
1009461,09/20/2007 08:08:02 PM,IPRA,Complaint,Closed,Miscellaneous,UNFOUNDED,No,1421,Hispanic,Female,20-29,20,5,9
1009463,09/20/2007 11:28:40 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,SUSTAINED,No,2232 | 1233,White,Male,30-39,23,5,9
1009465,09/21/2007 09:15:48 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,724,African American / Black,Male,20-29,9,6,9
1009465,09/21/2007 09:15:48 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,724,African American / Black,Female,30-39,9,6,9
1009469,09/21/2007 11:10:43 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,634,African American / Black,Male,20-29,11,6,9
1009470,09/21/2007 11:21:42 AM,IPRA,Complaint,Closed,Excessive Force,NO AFFIDAVIT,No,734,African American / Black,Male,20-29,11,6,9
1009473,09/21/2007 11:43:07 AM,IPRA,Complaint,Closed,Verbal Abuse,UNFOUNDED,No,825,African American / Black,Male,30-39,11,6,9
1009476,09/21/2007 12:34:42 PM,IPRA,Complaint,Closed,Excessive Force,SUSTAINED,No,732,African American / Black,Male,50-59,12,6,9
